 
networkSize,f,delay,traitorRandomMessage,traitorDoNotSendMessage,synchronous
15,3,0,true,false,true
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
true,true,true,true,true,true,true,true,true,true,true,true,false,false,false
1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
Id 13 1 60,Id 14 1 38,Id 4 1 20,Id 3 1 50,Id 5 1 22,Id 6 1 87,Id 2 1 89,Id 8 1 54,Id 7 1 41,Id 15 1 71,Id 10 1 66,Id 12 1 75,Id 11 1 42,Id 9 1 92,Id 1 1 24
Id 4 2 18,Id 3 2 10,Id 8 2 39,Id 2 2 27,Id 5 2 69,Id 12 2 83,Id 7 2 94,Id 14 2 54,Id 13 2 69,Id 1 2 80,Id 15 2 95,Id 6 2 96,Id 9 2 5,Id 10 2 49,Id 11 2 70
Id 1 3 59,Id 15 3 54,Id 6 3 74,Id 11 3 8,Id 4 3 25,Id 3 3 10,Id 10 3 71,Id 9 3 54,Id 8 3 90,Id 2 3 18,Id 12 3 89,Id 5 3 68,Id 13 3 37,Id 14 3 71,Id 7 3 69
Id 4 4 31,Id 7 4 37,Id 3 4 50,Id 8 4 13,Id 6 4 68,Id 2 4 29,Id 5 4 100,Id 1 4 68,Id 12 4 8,Id 9 4 97,Id 10 4 95,Id 13 4 70,Id 11 4 96,Id 15 4 46,Id 14 4 35
Id 9 5 0,Id 13 5 83,Id 10 5 4,Id 15 5 96,Id 3 5 99,Id 8 5 7,Id 6 5 61,Id 4 5 53,Id 11 5 19,Id 7 5 91,Id 2 5 20,Id 5 5 73,Id 1 5 59,Id 12 5 76,Id 14 5 79
Id 2 6 61,Id 5 6 56,Id 8 6 38,Id 1 6 16,Id 7 6 87,Id 6 6 51,Id 4 6 12,Id 3 6 51,Id 12 6 46,Id 13 6 44,Id 9 6 88,Id 14 6 23,Id 15 6 72,Id 10 6 72,Id 11 6 3
Id 9 7 41,Id 14 7 17,Id 15 7 87,Id 11 7 9,Id 1 7 30,Id 8 7 56,Id 2 7 11,Id 4 7 0,Id 7 7 16,Id 3 7 13,Id 5 7 26,Id 6 7 63,Id 13 7 11,Id 12 7 23,Id 10 7 87
Id 2 8 73,Id 3 8 51,Id 6 8 89,Id 4 8 47,Id 5 8 75,Id 12 8 69,Id 15 8 33,Id 10 8 11,Id 11 8 5,Id 1 8 27,Id 8 8 79,Id 13 8 65,Id 9 8 28,Id 7 8 10,Id 14 8 44
Id 11 9 33,Id 8 9 27,Id 13 9 80,Id 7 9 24,Id 9 9 27,Id 14 9 36,Id 4 9 49,Id 12 9 8,Id 2 9 30,Id 3 9 20,Id 6 9 27,Id 5 9 94,Id 15 9 56,Id 10 9 78,Id 1 9 58
Id 4 10 35,Id 3 10 60,Id 2 10 4,Id 10 10 92,Id 15 10 34,Id 11 10 37,Id 1 10 48,Id 8 10 19,Id 13 10 4,Id 9 10 28,Id 7 10 29,Id 14 10 62,Id 12 10 78,Id 5 10 32,Id 6 10 42
Id 9 11 39,Id 7 11 19,Id 6 11 26,Id 5 11 48,Id 3 11 83,Id 12 11 86,Id 15 11 97,Id 10 11 87,Id 2 11 54,Id 11 11 83,Id 1 11 70,Id 8 11 98,Id 13 11 23,Id 14 11 27,Id 4 11 84
Id 13 12 89,Id 9 12 8,Id 7 12 70,Id 14 12 1,Id 3 12 94,Id 12 12 20,Id 5 12 55,Id 4 12 21,Id 15 12 43,Id 6 12 58,Id 10 12 74,Id 2 12 78,Id 11 12 38,Id 1 12 57,Id 8 12 52
Id 5 13 98,Id 4 13 14,Id 6 13 59,Id 12 13 100,Id 3 13 67,Id 10 13 76,Id 11 13 62,Id 1 13 31,Id 8 13 13,Id 13 13 93,Id 9 13 88,Id 7 13 31,Id 14 13 1,Id 15 13 80,Id 2 13 10
Id 8 14 10,Id 13 14 86,Id 7 14 66,Id 9 14 0,Id 14 14 86,Id 15 14 60,Id 3 14 7,Id 10 14 34,Id 6 14 20,Id 4 14 16,Id 5 14 26,Id 12 14 94,Id 2 14 94,Id 1 14 100,Id 11 14 96
Id 9 15 80,Id 14 15 57,Id 10 15 98,Id 11 15 79,Id 6 15 55,Id 12 15 49,Id 3 15 60,Id 4 15 53,Id 2 15 70,Id 5 15 25,Id 1 15 97,Id 13 15 10,Id 8 15 13,Id 7 15 42,Id 15 15 58
Id 4 16 3,Id 2 16 84,Id 5 16 2,Id 11 16 9,Id 3 16 19,Id 1 16 93,Id 8 16 20,Id 13 16 90,Id 9 16 98,Id 7 16 53,Id 15 16 43,Id 14 16 69,Id 10 16 0,Id 6 16 49,Id 12 16 83
Id 8 17 100,Id 14 17 15,Id 11 17 96,Id 12 17 71,Id 1 17 17,Id 2 17 96,Id 4 17 29,Id 5 17 80,Id 3 17 3,Id 10 17 25,Id 6 17 35,Id 13 17 79,Id 9 17 73,Id 7 17 71,Id 15 17 6
