 
networkSize,f,delay,traitorRandomMessage,traitorDoNotSendMessage,synchronous
15,3,0,true,false,true
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
true,true,true,true,true,true,true,true,true,true,true,true,false,false,false
1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
24,89,50,20,22,87,41,54,92,66,42,75,60,38,71
80,27,10,18,69,96,94,39,5,49,70,83,69,54,95
59,18,10,25,68,74,69,90,54,71,8,89,37,71,54
68,29,50,31,100,68,37,13,97,95,96,8,70,35,46
59,20,99,53,73,61,91,7,0,4,19,76,83,79,96
16,61,51,12,56,51,87,38,88,72,3,46,44,23,72
30,11,13,0,26,63,16,56,41,87,9,23,11,17,87
27,73,51,47,75,89,10,79,28,11,5,69,65,44,33
58,30,20,49,94,27,24,27,27,78,33,8,80,36,56
48,4,60,35,32,42,29,19,28,92,37,78,4,62,34
70,54,83,84,48,26,19,98,39,87,83,86,23,27,97
57,78,94,21,55,58,70,52,8,74,38,20,89,1,43
31,10,67,14,98,59,31,13,88,76,62,100,93,1,80
100,94,7,16,26,20,66,10,0,34,96,94,86,86,60
97,70,60,53,25,55,42,13,80,98,79,49,10,57,58
93,84,19,3,2,49,53,20,98,0,9,83,90,69,43
17,96,3,29,80,35,71,100,73,25,96,71,79,15,6
95,19,92,99,49,16,14,44,47,26,52,77,74,91,34
53,30,34,58,66,7,91,62,1,41,18,14,72,93,64
26,40,74,56,37,16,26,29,89,33,66,66,89,89,22
79,45,14,18,55,60,58,42,4,46,93,2,8,47,63
19,35,72,13,31,0,74,1,90,50,90,77,18,41,13
42,75,81,21,3,48,92,42,13,19,23,100,20,32,48
73,76,22,71,59,50,67,76,71,6,64,9,4,24,45
 
networkSize,f,delay,traitorRandomMessage,traitorDoNotSendMessage,synchronous
15,3,0,true,false,false
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
true,true,true,true,true,true,true,true,true,true,true,true,false,false,false
1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
83,87,45,93,75,47,24,26,86,55,98,23,24,84
73,86,12,48,18,5,91,8,95,40,3,41,23,18,24
10,61,27,74,27,19,49,27,97,44,92,27,16,38,84
51,10,60,32,63,68,9,56,94,12,12,81,93,61,18
27,89,31,18,79,62,94,32,81,22,94,21,13,73,99
86,56,27,83,78,65,70,50,53,6,33,5,98,62,21
20,58,63,78,47,100,26,11,85,15,18,97,20,79,79
34,2,65

 
networkSize,f,delay,traitorRandomMessage,traitorDoNotSendMessage,synchronous
15,3,0,true,false,false
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
true,true,true,true,true,true,true,true,true,true,true,true,false,false,false
1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
100,6,24,95,92,50,33,61,40,26,63,45,56,74,88
62,22,33,77,46,75,62,66,95,47,72,76,5,5,29
19,39,71,82,18,31,30,20,66,91,15,71,72,69,34
34,46,18,19,70,10,74,23,58,95,48,1,13,51,47
14,47,1,43,38,11,42,44,12,51,22,87,17,41,50
networkSize,f,delay,traitorRandomMessage,traitorDoNotSendMessage,synchronous
15,3,0,true,false,true
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
true,true,true,true,true,true,true,true,true,true,true,true,false,false,false
1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
49,73,53,20,77,23,71,47,76,9,96,40,15,8,58
30,17,87,19,85,6,67,53,64,70,42,54,6,96,0
73,1,61,38,8,92,46,37,22,41,50,1,59,54,25
55,34,2,47,18,41,10,75,45,15,48,11,13,16,52
4,17,43,72,65,72,46,43,96,92,13,84,62,62,88
96,24,50,75,43,49,62,29,5,64,73,87,66,97,42
17,28,84,89,0,34,55,43,85,28,28,87,71,54,92
30,37,28,99,22,26,89,45,85,44,62,0,58,91,62
82,57,7,43,40,65,53,92,41,90,79,22,96,84,29
45,53,84,83,59,23,53,41,1,45,81,52,15,4,28
70,64,27,54,63,14,72,99,43,24,5,65,30,77,1
31,51,52,68,48,30,14,23,68,73,94,28,71,50,20
59,96,66,1,45,60,4,38,83,90,66,5,22,18,74
62,58,13,41,75,81,82,31,45,21,34,43,66,88,33
49,22,29,70,99,34,28,55,86,23,36,36,2,63,55
9,39,25,80,100,65,45,2,33,62,76,8,94,64,29
65,72,71,72,61,13,41,63,42,42,13,33,46,30,53
9,80,25,44,15,100,39,21,27,61,94,62,16,45,52
34,74,61,34,20,15,86,95,32,21,40,18,7,6,64
29,3,98,36,63,29,80,8,91,32,77,23,3,74,96
